No.,Rejected,Passed,Passed and Better value,Trial,Seed
1,,,21582.5343600000,1,20260908
2,,,19064.2263400000,1,20260908
3,,19781.3283200000,,1,20260908
4,,,18068.5144850000,1,20260908
5,INVALID,,,1,20260908
6,,,16875.3692100000,1,20260908
7,,18303.0332200000,,1,20260908
8,INVALID,,,1,20260908
9,,16944.0608750000,,1,20260908
10,,,14931.7153750000,1,20260908
11,,18694.0776280000,,1,20260908
12,INVALID,,,1,20260908
13,INVALID,,,1,20260908
14,INVALID,,,1,20260908
15,INVALID,,,1,20260908
16,INVALID,,,1,20260908
17,INVALID,,,1,20260908
18,INVALID,,,1,20260908
19,INVALID,,,1,20260908
20,INVALID,,,1,20260908
21,INVALID,,,1,20260908
22,INVALID,,,1,20260908
23,,15811.5271150000,,1,20260908
24,INVALID,,,1,20260908
25,INVALID,,,1,20260908
26,INVALID,,,1,20260908
27,INVALID,,,1,20260908
28,INVALID,,,1,20260908
29,INVALID,,,1,20260908
30,INVALID,,,1,20260908
31,INVALID,,,1,20260908
32,INVALID,,,1,20260908
33,INVALID,,,1,20260908
34,INVALID,,,1,20260908
35,INVALID,,,1,20260908
36,INVALID,,,1,20260908
37,INVALID,,,1,20260908
38,,16251.7934000000,,1,20260908
39,INVALID,,,1,20260908
40,INVALID,,,1,20260908
41,INVALID,,,1,20260908
42,INVALID,,,1,20260908
43,,,14285.9088790000,1,20260908
44,INVALID,,,1,20260908
45,INVALID,,,1,20260908
46,INVALID,,,1,20260908
47,,17617.2466140000,,1,20260908
48,INVALID,,,1,20260908
49,INVALID,,,1,20260908
50,,16241.0199690000,,1,20260908
51,INVALID,,,1,20260908
52,INVALID,,,1,20260908
53,INVALID,,,1,20260908
54,,16411.0066860000,,1,20260908
55,INVALID,,,1,20260908
56,INVALID,,,1,20260908
57,INVALID,,,1,20260908
58,,15123.6274440000,,1,20260908
59,,17053.3306050000,,1,20260908
60,INVALID,,,1,20260908
61,INVALID,,,1,20260908
62,,15385.2217500000,,1,20260908
63,INVALID,,,1,20260908
64,INVALID,,,1,20260908
